Bordereau-métré — Mise hors d'eau / réparation de la toiture
Maison principale (corps de logis) — Ferme du Temple — Avenue Joseph Wauters 227, 7080 Frameries
Réf. FdT-TOIT-MP-2026-06  |  13/06/2026  |  Destinataire : Consultation entreprises de couverture (Adritoit SRL · LB Toiture SAV)  |  EUR (€), montants HTVA
QUANTITÉS PRÉSUMÉES (QP) — à vérifier contradictoirement sur site. Décompte final sur métré réel.
"Surface de reprise ≈ 50 m² — relevé MO : < 1/2 du versant Nord (~68 m²) + 1/3 du versant Est (~61 m²) ; versants répartis depuis 237 m² selon l'orientation des arêtes (scan). À confirmer sur site."
Type : QF=forfaitaire  QP=présumée  PG=poste global  SR=somme réservée  PM=pour mémoire
Variantes V1-V3 et options O1-O2 : ALTERNATIVES à comparer, NON additionnées au total.

N°;Désignation des ouvrages;Type;Unité;Q.P.;P.U. HTVA (€);Total HTVA (€)
0.  INSTALLATION DE CHANTIER, ACCÈS & SÉCURITÉ
0.1;Installation et repli de chantier (amenée/évacuation du matériel, zone de stockage, signalisation).;PG;pce;1;;
0.2;Échafaudage de pied sur les façades libres concernées (montage, location, démontage), conforme à la réglementation. Base : ~33,6 m de façade libre × ~10 m.;QP;m² fac.;335;;
0.3;Dispositifs d'accès et de circulation en toiture (échelles de couvreur, plateforme de travail, crochets).;QP;forf.;1;;
0.4;Sécurité collective : garde-corps périphérique antichute, filets, et/ou ligne de vie temporaire.;QF;forf.;1;;
0.5;Protection des ouvrages conservés et des abords (tourelle, châssis, maçonneries, sols).;QF;forf.;1;;
1.  DÉPOSE & MISE HORS D'EAU PROVISOIRE
1.1;Dépose et évacuation des bâches provisoires existantes sur les versants.;QP;m²;50;;
1.2;Mise hors d'eau provisoire renforcée maintenue pendant toute la durée du chantier (bâches lestées, étanchéité temporaire).;QF;forf.;1;;
1.3;Sondages et diagnostic visuel des parties accessibles de la couverture et de la charpente (état des sablières / pieds de chevrons — lien avec le traitement mérule en cours).;QF;forf.;1;;
1.4;Dépose soignée des ardoises et de leur support dans les zones dégradées à reprendre, avec récupération des ardoises réutilisables.;QP;m²;50;;
1.5;Repérage / inventaire amiante préalable de la couverture existante (obligation préalable au démontage).;QF;forf.;1;;
1.6;Tri, descente et évacuation des déchets en CET autorisé (y c. filière amiante si avérée).;QP;m³;10;;
2.  CHARPENTE & SUPPORT (réparations localisées)
2.1;Révision générale de la charpente apparente (resserrage, calage, purge des bois pourris).;QF;forf.;1;;
2.2;Remplacement de chevrons dégradés par bois résineux traité classe d'emploi 2, section assortie à l'existant.;QP;m;60;;
2.3;Remplacement / renforcement de sablières et de pieds de chevrons (zones en contact avec maçonneries humides).;QP;m;20;;
2.4;Réfection du voligeage / liteaunage sous les zones reprises.;QP;m²;50;;
2.5;Traitement curatif et préventif du bois de charpente (fongicide / insecticide) sur parties conservées / mises à nu.;QP;m²;50;;
3.  SOUS-TOITURE & COUVERTURE (reprises)
3.1;Fourniture et pose d'un écran de sous-toiture HPV (pare-pluie) sous les zones reprises.;QP;m²;50;;
3.2;Contre-lattage + lattage neufs (résineux traité) sous les zones reprises.;QP;m²;50;;
3.3;Recouverture en ardoise RECONSTITUÉE (recomposée) assortie à l'existant sur les zones reprises, pose et fixation selon les règles de l'art. (Variante ardoise naturelle : voir poste V1.);QP;m²;50;;
3.4;Remplacement ponctuel d'ardoises isolées cassées / glissées hors zones reprises.;QP;pce;200;;
3.5;Rétablissement du faîtage et des arêtiers (closoirs ventilés, fixation mécanique).;QP;m;35;;
3.6;Réfection des noues (façonnage zinc ou plomb).;QP;m;12;;
4.  POINTS SINGULIERS
4.1;Lucarnes jacobines (toit cintré zinc) : réfection couverture + joues + zinguerie (par unité).;QP;pce;2;;
4.2;Œil-de-bœuf / lucarne ronde : réfection de la couverture et des raccords.;QP;pce;1;;
4.3;Tourelle : révision / réfection de la couverture conique (plomb, zinc ou ardoise) et de son amortissement.;PG;forf.;1;;
4.4;Souches de cheminée : réfection des solins et bavettes en plomb, rejointoiement de la tête (par souche).;QP;pce;3;;
4.5;Solins et raccords d'étanchéité contre maçonneries mitoyennes (Aile Ouest, Atelier). Base : ~24,8 m d'arêtes mitoyennes.;QP;m;25;;
4.6;Reprise des pénétrations diverses (ventilations, sorties, scellements).;QP;pce;5;;
5.  ÉVACUATION DES EAUX PLUVIALES (zinguerie)
5.1;Dépose des gouttières / corniches et descentes dégradées (linéaire de corniche libre).;QP;m;34;;
5.2;Fourniture et pose de gouttières (corniche) en zinc, y c. naissances. Base : ~33,6 m d'arêtes libres.;QP;m;34;;
5.3;Descentes d'eaux pluviales + accessoires (dauphins fonte, crapaudines, raccords). Base : ~3 descentes × ~8 m.;QP;m;24;;
5.4;Bavettes, noquets et solins en zinc / plomb.;QP;m;30;;
6.  TOITURE PLATE / TERRASSON ZINC (sommet du comble — photos Adritoit)
6.1;Dépose de la couverture métallique existante (zinc / plomb) du terrasson, fortement dégradée.;QP;m²;20;;
6.2;Révision / remplacement du support (voligeage, platelage) de la toiture plate.;QP;m²;20;;
6.3;Nouvelle étanchéité ZINC à joints debout (reprise du système d'origine — solution de base). Variantes bitume/EPDM : postes V2/V3.;QP;m²;20;;
6.4;Relevés d'étanchéité périphériques, bavettes et raccords sur acrotères / souches (pourtour ~5×4 m).;QP;m;18;;
6.5;Évacuations d'eaux pluviales du terrasson (naissances, trop-pleins, raccord aux descentes).;QP;pce;2;;
7.  DIVERS & FIN DE CHANTIER
7.1;Coordination sécurité-santé / plan particulier de sécurité (PSS) — si requis.;QF;forf.;1;;
7.2;Nettoyage du chantier et évacuation finale des déchets.;QF;forf.;1;;
7.3;Réception, dossier de fin de chantier (photos, fiches techniques, garanties).;QF;forf.;1;;
7.4;Somme réservée pour imprévus (travaux non décelables avant ouverture) — à valider par le maître d'ouvrage.;SR;forf.;1;;

;TOTAL HTVA (chapitres 0 à 7);;;;;
;TVA (6% rénovation logement >10 ans, sous conditions / sinon 21%);;;;;
;TOTAL TVAC;;;;;

VARIANTES & OPTIONS — à comparer, NON incluses dans le total ci-dessus :
V1;Plus-value ardoise NATURELLE au lieu de reconstituée, sur les zones reprises (comparaison de coût demandée par le MO). À chiffrer en alternative au poste 3.3.;QP;m²;50;;
V2;Toiture plate — étanchéité BITUMINEUSE SBS bicouche soudée, en lieu et place du zinc (alternative au poste 6.3).;QP;m²;20;;
V3;Toiture plate — étanchéité EPDM monocouche collée, en lieu et place du zinc (alternative au poste 6.3).;QP;m²;20;;
O1;OPTION — Réfection COMPLÈTE des versants en ardoise reconstituée (dépose totale + sous-toiture + lattage + ardoises neuves), en remplacement des reprises ponctuelles. Scénario 'fin de vie' pour le financement.;QP;m²;237;;
O2;OPTION — idem en ardoise NATURELLE (comparaison de coût).;QP;m²;237;;
